author,journal,volume,species,prey_type,prey_presentation,cs,cs2,cs_property,us,us2,us_concentration,us_concentration_cal,attack_prob,way_of_learning,prey_presentation2,species2,cs3,us3
"Hamalainen, L",J Anim Ecol,89,Cyanistes caeruleus,almond,simultaneous,pattern,pattern,square,chloroquine phosphate,bitterness,0.06,0.06,0.296,D,2,1,4,1
"Hamalainen, L",J Anim Ecol,89,Cyanistes caeruleus,almond,simultaneous,pattern,pattern,square,chloroquine phosphate,bitterness,0.06,0.06,0.092,D,2,1,4,1
"Hamalainen, L",J Anim Ecol,89,Cyanistes caeruleus,almond,simultaneous,pattern,pattern,square,chloroquine phosphate,bitterness,0.06,0.06,0.133,D,2,1,4,1
"Hamalainen, L",J Anim Ecol,89,Cyanistes caeruleus,almond,simultaneous,pattern,pattern,NA,chloroquine phosphate,bitterness,0.06,0.06,0.296,D,2,1,4,1
"Paez, E",Proc B,288,Cyanistes caeruleus,almond,simultaneous,color+pattern,color+pattern,NA,chloroquine phosphate,bitterness,0.07,0.07,0.158,D,2,1,3,1
"Ronka, K",Anim Behav,135,Cyanistes caeruleus,pastry,sequential,color,color,red/yellow,chloroquine diphosphate,bitterness,0.15,0.15,0,D,1,1,1,1
"Aronsson, M",Anim Behav,75,Gallus gallus domesticus,mealworm,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.511,D,2,2,3,1
"Aronsson, M",Anim Behav,75,Gallus gallus domesticus,mealworm,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.631,D,2,2,3,1
"Aronsson, M",Anim Behav,84,Gallus gallus domesticus,mealworm,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.355,D,2,2,3,1
"Aronsson, M",Anim Behav,84,Gallus gallus domesticus,artificial,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.557,D,2,2,3,1
"Aronsson, M",Anim Behav,84,Gallus gallus domesticus,artificial,simultaneous,pattern,pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.659,D,2,2,4,1
"Aronsson, M",Anim Behav,84,Gallus gallus domesticus,chicken feed,simultaneous,pattern,pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.755,D,2,2,4,1
"Aronsson, M",Anim Behav,84,Gallus gallus domesticus,chicken feed,simultaneous,pattern,pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.792,D,2,2,4,1
"Aronsson, M",Behav Ecol,20,Gallus gallus domesticus,mealworm,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.167,D,2,2,3,1
"Aronsson, M",Behav Ecol,20,Gallus gallus domesticus,mealworm,simultaneous,color+pattern,color+pattern,NA,quinine hydrochloride,bitterness,0.03,0.03,0.384,D,2,2,3,1
"Bosque, RJ",Ecol Evol,8,Gallus gallus domesticus,chicken feed,simultaneous,color+pattern,color+pattern,NA,chloroquine,bitterness,0.1,0.1,0.088,D,2,2,3,1
"Bosque, RJ",Ecol Evol,8,Gallus gallus domesticus,chicken feed,simultaneous,color+pattern,color+pattern,NA,chloroquine,bitterness,0.1,0.1,0.091,D,2,2,3,1
"Bosque, RJ",Ecol Evol,8,Gallus gallus domesticus,chicken feed,simultaneous,color+pattern,color+pattern,NA,chloroquine,bitterness,0.1,0.1,0.217,D,2,2,3,1
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,NA,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,NA,NA,0,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0.009,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,3.1,NA,0.019,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,NA,NA,0.167,D,2,2,1,2
"Chouteau, M",Anim Behav,153,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,prey defense,toxin,NA,NA,0.204,D,2,2,1,2
"D'Heursel, A",Ethol Ecol Evol,11,Gallus gallus domesticus,tadpoles,simultaneous,general appearance,color+pattern,NA,prey defense,toxin,NA,NA,0.462,D,2,2,3,2
"Gagliardo, A",Proc B,251,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine + mustard,bitterness,0.06,0.06,0.006,D,2,2,1,1
"Gagliardo, A",Proc B,251,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine + mustard,bitterness,0.06,0.06,0.007,D,2,2,1,1
"Gagliardo, A",Proc B,251,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine + mustard,bitterness,0.06,0.06,0.019,D,2,2,1,1
"Gagliardo, A",Proc B,251,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine + mustard,bitterness,0.06,0.06,0.031,D,2,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.344,D,1,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.462,D,1,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.59,D,1,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.638,D,1,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.736,D,1,2,1,1
"Pegram, KV",Behav Processes,187,Gallus gallus domesticus,mealworm,sequential,color,color,NA,quinine hydrochloride + mustard,bitterness,0.06,0.06,0.737,D,1,2,1,1
"Roper, TJ",Behaviour,125,Gallus gallus domesticus,fluid,sequential,color,color,NA,quinine hydrochloride,bitterness,0.005,0.005,0.254,D,1,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.2,D,2,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.206,D,2,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.286,D,2,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.327,D,2,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.363,D,2,2,1,1
"Rowland, HM",Biol Lett,6,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,chloroquine phosphate,bitterness,0.06,0.06,0.378,D,2,2,1,1
"Salva, OR",Anim Behav,78,Gallus gallus domesticus,beads,sequential,color,color,NA,methyl anthranilate,bitterness,1,NA,0.073,D,1,2,1,1
"Salva, OR",Anim Behav,78,Gallus gallus domesticus,beads,sequential,color,color,NA,methyl anthranilate,bitterness,1,NA,0.37,D,1,2,1,1
"Salva, OR",Anim Behav,78,Gallus gallus domesticus,beads,sequential,color,color,NA,methyl anthranilate,bitterness,1,NA,0.577,D,1,2,1,1
"Salva, OR",Anim Behav,78,Gallus gallus domesticus,beads,sequential,color,color,NA,methyl anthranilate,bitterness,1,NA,0.718,D,1,2,1,1
"Siddall, EC",Behav Ecol,19,Gallus gallus domesticus,chicken feed,simultaneous,color+odor,color+other,NA,denatonium benzoate,bitterness,7.00E-04,0.014,0.11,D,2,2,2,1
"Siddall, EC",Behav Ecol,19,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,denatonium benzoate,bitterness,7.00E-04,0.014,0.256,D,2,2,1,1
"Skelhorn, J",Anim Behav,74,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.04,0.04,0.032,D,2,2,1,1
"Skelhorn, J",Anim Behav,81,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,denatonium benzoate,bitterness,8.00E-04,0.016,0.295,D,2,2,1,1
"Skelhorn, J",Anim Behav,81,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,denatonium benzoate,bitterness,8.00E-04,0.016,0.383,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,denatonium benzoate,bitterness,0.001,0.02,0.007,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,denatonium benzoate,bitterness,0.001,0.02,0.028,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.007,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.007,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.01,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.012,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.028,D,2,2,1,1
"Skelhorn, J",Behav Ecol,17,Gallus gallus domesticus,chicken feed,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.034,D,2,2,1,1
"Skelhorn, J",Biol Lett,1,Gallus gallus domesticus,artificial,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.008,D,2,2,1,1
"Skelhorn, J",Biol Lett,1,Gallus gallus domesticus,artificial,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.018,D,2,2,1,1
"Skelhorn, J",Biol Lett,1,Gallus gallus domesticus,artificial,simultaneous,color,color,NA,quinine sulfate,bitterness,0.02,0.02,0.031,D,2,2,1,1
"Fabricant, SA",Anim Behav,90,Parus major,mealworm,sequential,color+pattern,color+pattern,NA,quinine phosphate,bitterness,0.06,0.06,0.771,D,1,3,3,1
"Fabricant, SA",Anim Behav,90,Parus major,mealworm,sequential,color+pattern,color+pattern,NA,quinine phosphate,bitterness,0.06,0.06,0.885,D,1,3,3,1
"Fabricant, SA",Anim Behav,90,Parus major,mealworm,sequential,color+pattern,color+pattern,NA,quinine phosphate,bitterness,0.06,0.06,0.93,D,1,3,3,1
"Hamalainen, L",Behav Ecol,31,Parus major,mealworm,sequential,color,color,NA,chloroquine diphosphate,bitterness,0.03,0.03,0.672,D,1,3,1,1
"Hamalainen, L",Func Ecol,33,Parus major,almond,simultaneous,pattern,pattern,NA,chloroquine phosphate,bitterness,0.063,0.063,0.127,D,2,3,4,1
